Consulta,Clics,Impresiones,CTR,Posición
machu pichu packages,4.0,45.0,0.0889,4.56
agencia de viajes lima,4.0,44.0,0.0909,2.98
machu picchu fotos,4.0,41.0,0.0976,8.54
best machu picchu vacation packages,4.0,37.0,0.1081,3.78
agencias en cusco,4.0,35.0,0.1143,3.37
what altitude is arequipa,4.0,34.0,0.1176,2.76
weather in peru in may,4.0,34.0,0.1176,6.35
time in arequipa peru,4.0,33.0,0.1212,29.76
el tiempo en machu picchu,4.0,32.0,0.125,3.97
machu picchu noticias,4.0,21.0,0.1905,2.95
que comprar en peru,4.0,20.0,0.2,2.85
paro en machu picchu,4.0,18.0,0.2222,3.22
carnival in lima peru,4.0,13.0,0.3077,1.0
wie hoch ist arequipa,4.0,13.0,0.3077,2.08
wie hoch liegt arequipa peru,4.0,11.0,0.3636,2.0
peru machu picchu kiedy jechać,4.0,7.0,0.5714,24.71
parks near me,3.0,15056.0,0.0002,7.82
caral,3.0,12757.0,0.0002,10.13
geoglyphs meaning,3.0,4915.0,0.0006,6.69
all inclusive peru vacation packages,3.0,4517.0,0.0007,8.65
sacsayhuaman,3.0,4453.0,0.0007,33.61
luxury peru tours,3.0,3229.0,0.0009,41.46
best peru tour companies,3.0,2933.0,0.001,17.28
lima peru vacation packages,3.0,1972.0,0.0015,26.35
7 borreguitos cusco,3.0,1864.0,0.0016,8.34
